Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De-Energization,month
ENERGY,SCE Browns Canyon,32,46.3,31/46,13,Exceeded Threshold Exceeded FPI,Dec
ANTON,SCE Happy Camp Rd,30.3,47.4,31/46,12.9,Exceeded Threshold Exceeded FPI,Dec
ENERGY,SCE Browns Canyon,32,46.3,31/46,13,Exceeded Threshold Exceeded FPI,Dec
BIRCHIM,SCE Round Valley,31.5,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec
SAND CANYON,SCE Magic Mtn Truck Trail,30.3,39,31/46,13.9,High Wind Trend Exceeded FPI,Dec
LOUCKS,SCE Letteau Mtwy,30,46.3,31/46,13.9,Downstream circuit fed by Shovel (source de/ energized),Dec
SHOVEL,SCE Letteau Mtwy,30,46.3,31/46,13.8,Exceeded Threshold Exceeded FPI,Dec
CALSTATE,SCE Devil Canyon,42.5,50.9,31/46,13.8,Exceeded Threshold Exceeded FPI,Dec
ENERGY,SCE Oat Mountain,32.5,49.6,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
DYSART,SCE Old Banning Idyllwind Rd,22.8,45.3,31/46,13.9,Downstream circuit fed by Saddleback (source de/ energized),Dec
SADDLEBACK,SCE Old Banning Idyllwind Rd,22.8,45.3,31/46,13.9,High Wind Trend Exceeded FPI,Dec
TAPO,SCE Tapo Canyon,27.4,38.9,31/46,13.9,High Wind Trend Exceeded FPI,Dec
ENERGY,SCE Browns Canyon,30.9,51.2,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
ANTON,SCE Happy Camp Rd,21.4,42.5,31/46,13.9,High Wind Trend Exceeded FPI,Dec
BALCOM,SCE South Mountain,32.2,46.4,31/46,13.8,Exceeded Threshold Exceeded FPI,Dec
RAINBOW,SCE South Mountain,32.2,46.4,31/46,13.8,Exceeded Threshold Exceeded FPI,Dec
GNATCATCHER,SCE Cummings Valley,31.9,44.7,31/46,13.6,Exceeded Threshold Exceeded FPI,Dec
CONDOR,SCE Cummings Valley,31.9,44.7,31/46,13.6,Exceeded Threshold Exceeded FPI,Dec
ESTABAN,SCE Hondo Barranca Rd,20.3,49.9,31/45,13.8,Exceeded Threshold Exceeded FPI,Dec
FROZEN,Grapevine Peak (RAWS) GVPC1,32,42,31/46,12,Exceeded Threshold Exceeded FPI,Dec
TWIN LAKES,SCE Cochran St,42.6,58.7,31/45,13.9,Exceeded Threshold Exceeded FPI,Dec
COBRA,SCE Solemint Mtwy,36,50.5,31/42,13.9,Exceeded Threshold Exceeded FPI,Dec
JULIUS,SCE Solemint Mtwy,36,50.5,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
MARCUS,SCE Solemint Mtwy,36,50.5,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
ARLENE,SCE Solemint Mtwy,36,50.5,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
HILLFIELD,SCE Solemint Mtwy,36,50.5,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
RACER,SCE Solemint Mtwy,36,50.5,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
BOOTLEGGER,SCE Acton Canyon,22.2,47.1,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
BIG ROCK,SCE Cochran St,39.7,59.3,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
SAND CANYON,SCE Mesa Grande Rd,25.5,48.1,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
CABANA,SCE Jurupa Hills,34.4,49.5,31/46,12.8,Exceeded Threshold Exceeded FPI,Dec
RICARDO,SCE Crimea Street Fire Rd,37.1,61.2,31/46,12,Exceeded Threshold Exceeded FPI,Dec
GUITAR,SCE Tapo Canyon,27.3,48.7,31/46,13.7,Exceeded Threshold Exceeded FPI,Dec
STEEL,SCE Badlands,24.3,46.9,30/43,12.9,Exceeded Threshold Exceeded FPI,Dec
GRAPEVINE PEAK,Grapevine CHP (AT714),42,55,31/46,12,High Wind Trend Exceeded FPI,Dec
NORTHPARK,SCE Meyers Canyon,26.1,46,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
VARGAS,SCE Sycamore Canyon Rd,25.1,46.9,31/46,13.8,Exceeded Threshold Exceeded FPI,Dec
DUKE,SCE Mount Davis,29.4,47.6,30/46,13.8,Exceeded Threshold Exceeded FPI,Dec
NAPOLEON,SCE Lamb Canyon Landfall,29.4,41,31/45,13.8,High Wind Trend Exceeded FPI,Dec
SWEETWATER,SCE Badger Canyon Rd,34.9,54.4,31/46,13.7,Exceeded Threshold Exceeded FPI,Dec
VERA CRUZ,SCE Carbon Canyon,27.8,36.5,28/42,13.9,High Wind Trend Exceeded FPI,Dec
PHEASANT,SCE Walling Dr,32.8,45.3,31/45,13.9,Exceeded Threshold Exceeded FPI,Dec
RAINBOW,SCE Bixby Rd,21.2,45.7,31/46,13.9,High Wind Trend Exceeded FPI,Dec
NORTHPARK,SCE W Little League Dr,27,48.2,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
ATENTO,SCE Baker Canyon,30.5,46.3,31/46,13.9,Exceeded Threshold Exceeded FPI,Dec
PETIT,SCE South Mountain,33.6,47.1,31/46,12,Exceeded Threshold Exceeded FPI,Dec
FINGAL,SCE Twin Pines,28,46,31/46,12,Exceeded Threshold Exceeded FPI,Dec
ESTABAN,SCE Hondo Barranca Rd,26,51.1,26/38,13.8,Exceeded Threshold Exceeded FPI,Dec
CASTRO,SCE Anlauf Canyon,31.1,46,30/46,13.9,Exceeded Threshold Exceeded FPI,Dec
HONEYCRISP,SCE San Timoteo Canyon,29.6,46.2,29/42,12.8,Exceeded Threshold Exceeded FPI,Dec
Energy,SCE Browns Canyon,37,51,31/46,12.18, Exceeded Threshold 99th Percentile  High Wind Trend  Exceeded FPI Value,Oct
ANTON,SCE Happy Camp Road,31,51,31/46,12.99, Exceeded Threshold 99th Percentile  High Wind Trend  Exceeded FPI Value,Oct
TUFA,SCE Bodie State Park,27.51,37.7,31 / 46,12.27,High Wind Trend Exceeded FPI,Nov
SKI HI,SCE Sundance Rd,26.7,41.1,31 / 46,12.53,High Wind Trend Exceeded FPI,Nov
SKI HI,SCE Castle Rock Rd,21.5,40.4,31 / 46,12.53,High Wind Trend Exceeded FPI,Nov
STROSNIDER,SCE Bridgeport Valley,33.9,51.5,31 / 46,12.53,Exceeded Threshold Exceeded FPI,Nov
ROBINSON CREEK,SCE Twin Lakes Rd,39.3,57.0,31 / 46,11.25,Exceeded Threshold 1% Historical,Nov
CAMPANULA,SCE Mesa Dr,30.7,40.3,31 / 46,12.52,Met Threshold Exceeded FPI,Nov
CAMPANULA,SCE Mesa Dr,30.7,40.3,31 / 46,12.52,High Wind Trend Exceeded FPI,Nov
SHOVEL,SCE Letteau Canyon,25.2,37.3,31/46,12.17,High Wind Trend Exceeded FPI,Dec
METTLER,SCE Mias Canyon,25.1,37.5,31/46,13.14,High Wind Trend Exceeded FPI,Dec
ZENDA,SCE Sand Canyon Rd,23.5,44.1,31/46,13.54,High Wind Trend Exceeded FPI,Dec
LOUCKS,SCE Letteau Canyon,25.2,37.3,31/46,13.54,High Wind Trend Exceeded FPI,Dec
CONDOR,SCE Bear Mountain 2,27.2,41.9,31/46,13.51,High Wind Trend Exceeded FPI,Dec
DAVENPORT,SCE Rattle Snake Rd,17.5,42.2,31/46,14.54,High Wind Trend Exceeded FPI,Dec
RANKIN,SCE Sand Canyon Rd,27.3,45,31/46,13.53,High Wind Trend Exceeded FPI,Dec
RAINBOW,SCE South Mountain,28.1,46.6,31/46,12.95,Exceeded Threshold Exceeded FPI,Dec
BALCOM,SCE South Mountain,28.1,46.6,31/46,12,Exceeded Threshold Exceeded FPI,Dec
ENERGY,SCE Browns Canyon,29.9,43.3,31/46,12.99,High Wind Trend Exceeded FPI,Dec
BIG ROCK,SCE Cochran St,29.8,43.3,31/46,12.94,High Wind Trend Exceeded FPI,Dec
CASTRO,SCE Anlauf Canyon,28.7,41.1,30/46,12.99,High Wind Trend Exceeded FPI,Dec
TWIN LAKES,SCE Cochran St,33.8,51.4,31/45,12.91,Exceeded Threshold Exceeded FPI,Dec
DAVENPORT,SCE Letteau Canyon,28.1,45,31/46,14.54,High Wind Trend Exceeded FPI,Dec
ANTON,SCE Happy Camp Rd,26.4,42.7,31/46,12.97,High Wind Trend Exceeded FPI,Dec
ANTON,SCE Happy Camp Rd,26.4,42.7,31/46,12.97,High Wind Trend Exceeded FPI,Dec
TANAGER,SCE Happy Camp Rd,27.8,46.8,30.67/44.07,12,Exceeded Threshold Exceeded FPI,Dec
CONDOR,SCE Happy Camp Rd,26.1,35.3,31/46,13.51,Exceeded Threshold Exceeded FPI,Dec
GNATCATCHER,SCE Cummings Valley,26.1,35.3,31/46,13.53,Exceeded Threshold Exceeded FPI,Dec
SADDLEBACK,HIGHLAND SPRINGS RAW,31,46,31/46,12.11,Exceeded Threshold Exceeded FPI,Dec
DYSART,HIGHLAND SPRINGS RAW,31,46,31/46,12.11,Exceeded Threshold Exceeded FPI,Dec
FLYING D,SCE Over Pass,25.7,44.9,31/46,12.57,High Wind Trend Exceeded FPI,Dec
FINGAL,SCE Twin Pines,23.8,42.6,31/46,12.09,High Wind Trend Exceeded FPI,Dec
BENCH,SCE Pigsah Peak,26.5,40.7,29/42,12.99,High Wind Trend Exceeded FPI,Dec
CANAL,SCE Chimney Flats,16.2,47.2,27/44,15.22,Exceeded Threshold Exceeded FPI,Dec
PINE COVE,SCE Chimney Flats,16.2,47.2,27/44,13.39,Exceeded Threshold Exceeded FPI,Dec
SAUNDERS,SCE Chimney Flats,16.2,47.2,27/44,14.4,Exceeded Threshold Exceeded FPI,Dec
SAND CANYON,SCE Magic Mtn Truck Trail,26,50.9,31/46,12.98,Exceeded Threshold Exceeded FPI,Dec
ANACONDA,SCE Golden Valley,23.8,42.2,31/42,13.47,Exceeded Threshold Exceeded FPI,Dec
GLASSCOCK,SCE Barnes St,25.1,41.7,31/45,12.92,High Wind Trend Exceeded FPI,Dec
PHEASANT,Banning (RAWS) BNJC1,25,43,31/45,14.43,High Wind Trend Exceeded FPI,Dec
TIMBER CANYON,SCE Toland Park,22.4,43.7,31/46,12.96,High Wind Trend Exceeded FPI,Dec
BOOTLEGGER,SCE Acton Canyon,24.5,45.1,31/46,12.44,High Wind Trend Exceeded FPI,Dec
ZONE,SCE Somis,23.9,41.6,31/46,12.95,High Wind Trend Exceeded FPI,Dec
COBRA,SCE Solemint Mtwy,32.1,45.5,31/42,13.47,Exceeded Threshold Exceeded FPI,Dec
ESTABAN,SCE Hondo Barranca Rd,18.2,40.6,31/45,12.95,High Wind Trend Exceeded FPI,Dec
CASTRO,SCE Bear Canyon,19.9,42.8,30/46,12.99,High Wind Trend Exceeded FPI,Dec
HILLFIELD,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec
ARLENE,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec
RACER,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec
TAPO,SCE Iron Trough Canyon,20.19,42.6,31/46,12.97,High Wind Trend Exceeded FPI,Dec
MIDDLE ROAD,SCE Williams Canyon Rd,14.6,38.5,26/42,12.97,High Wind Trend Exceeded FPI,Dec
DAVENPORT,SCE Vasquez Canyon Rd,17.5,42.2,31/46,14.54,High Wind Trend Exceeded FPI,Dec
CLARINET,SCE Whitaker Ridge Rd,28.8,46.5,31/46,12,Exceeded Threshold Exceeded FPI,Dec
GILLIBRAND,SCE Valley View,15.7,42.7,31/46,12.91,High Wind Trend Exceeded FPI,Dec
STRATHERN,SCE Moorpark College,23.1,47.1,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec
DUKE,SCE Mount Davis,30.8,44.6,30/46,12,Exceeded Threshold Exceeded FPI,Dec
BUCKHORN,SCE Lechler Mtwy,26.4,41.8,31/46,12,High Wind Trend Exceeded FPI,Dec
CANEBRAKE,SCE Pacific Crest Trail,27,50.8,31/46,12,Exceeded Threshold Exceeded FPI,Dec
HORSE MOUNTAIN,SCE Pacific Crest Trail,27,50.8,31/46,12,Exceeded Threshold Exceeded FPI,Dec
TAHQUITZ,SCE Apple Canyon,31,46.5,31/46,14.41,Exceeded Threshold Exceeded FPI,Dec
CORSAIR,SCE Red Mountain Rd,25,42.8,30/42,14.45,Exceeded Threshold Exceeded FPI,Dec
EASTER,SCE Ramona/ Hwy79,23.4,42.7,29/41,12,Exceeded Threshold Exceeded FPI,Dec
ENCHANTED,SCE Simi Valley Landfill,23.4,49.3,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec
VERA CRUZ,SCE Carbon Canyon,25,36.7,28.04/42,12.95,High Wind Trend Exceeded FPI,Dec
REJADA,SCE Simi Valley Landfill,23.4,49.3,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec
STEEL,SCE Badlands,23.7,45.1,30/43,12.94,Exceeded Threshold Exceeded FPI,Dec
SAVORY,SCE Ramona/ Hwy79,23.4,42.7,29/42,12.93,Exceeded Threshold Exceeded FPI,Dec
PATRICIA,SCE Matilija Reservoir,23.9,45.1,31/46,12,High Wind Trend Exceeded FPI,Dec
STEEL,SCE Ramona/ Hwy79,27.1,42.3,30/43,12.94,High Wind Trend Exceeded FPI,Dec
ESTABAN,SCE El Rio,19.7,40.5,31/45,12.95,High Wind Trend Exceeded FPI,Dec
FORTUNE,SCE State St,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec
LAUDA,SCE State St,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec
STEARNS,SCE Eve Rd,19.6,45.5,31/46,12.91,High Wind Trend Exceeded FPI,Dec
Kuehner,SCE Eve Rd,19.6,45.5,31/46,12.91,High Wind Trend Exceeded FPI,Dec
GILMAN,SCE Massacre Canyon,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec
NAPOLEON,SCE Lamb Canyon Landfall,28.9,45.2,31/45,12.98,Exceeded Threshold Exceeded FPI,Dec
PARINA,SCE West Point,16.8,38.3,28/36,12,Exceeded Threshold Exceeded FPI,Dec
FANO,SCE West Point,16.8,38.3,28/40,12.92,High Wind Trend Exceeded FPI,Dec
PASCAL,SCE Anza Rd,29.9,40,31/44,12.81,High Wind Trend Exceeded FPI,Dec
CHAWA,SCE Anza Rd,29.9,40,31/46,12,High Wind Trend Exceeded FPI,Dec
LOPEZ,SCE Kagel Canyon,16.4,42.4,31/46,14.46,High Wind Trend Exceeded FPI,Dec
DE MILLE,SCE East Trail,17.8,36.9,31/46,12.91,High Wind Trend Exceeded FPI,Dec
SOGGY,SCE Lakeview Ave E,26.4,40.6,28/40,12,Exceeded Threshold Exceeded FPI,Dec
VETERANS,SCE Pacoima Dam,16.5,45.7,31/46,14.4,High Wind Trend Exceeded FPI,Dec
ENERGY,SCE West Woolsey Canyon,24.5,40.7,31/46,12.99,High Wind Trend Exceeded FPI,Dec
THACHER,SCE Thacher Canyon,12.6,45.3,29/46,13.92,High Wind Trend Exceeded FPI,Dec
THACHER,SCE Thacher Canyon,12.6,45.3,29/46,13.92,High Wind Trend Exceeded FPI,Dec
SONOMA,SCE Freedom Rd,21,39.5,27.51/39.42,12.94,Exceeded Threshold Exceeded FPI,Dec
SANTORINI,SCE Archibald Ave,17.5,42.6,31/42,12.88,Exceeded Threshold Exceeded FPI,Dec
TAGGERT,SCE Crab Flats,34.6,49,31/46,12.32,Exceeded Threshold Exceeded FPI,Dec
BIANCO,SCE Cucamonga Canyon,19.2,39.9,31/40,12.88,High Wind Trend Exceeded FPI,Dec
TOWNSHIP,SCE Eve Rd,15.4,44.1,31/45,12,High Wind Trend Exceeded FPI,Dec
OAK KNOLL,SCE Crab Flats,34.6,49,31/46,12.14,Exceeded Threshold Exceeded FPI,Dec
RED BOX,CHILAO (CHOC1),31,52,31/46,13.42,Exceeded Threshold Exceeded FPI,Dec
LOCKNER,SCE Orchard/2 Rd,19.4,45.2,31/45,12.97,Exceeded Threshold Exceeded FPI,Dec
VARGAS,F0494 San Bernardino CSU SB,18,41,31/46,12.9,High Wind Trend Exceeded FPI,Dec
ROS,SCE Joppe Ave,29.5,40.5,27/39,12,Exceeded Threshold Exceeded FPI,Dec
DARTMOUTH,SCE Soboba Rd,24.6,41.4,31/45,14.44,High Wind Trend Exceeded FPI,Dec
CASSIDY,SCE Guardian St Hills,26.2,49.9,31/46,12,Exceeded Threshold Exceeded FPI,Dec
AMETHYST,SCE Deer Canyon,25.7,57.5,31/46,12.87,Exceeded Threshold Exceeded FPI,Dec
ROUNDEL,SCE Elm Ave,29.5,44.1,31/44,12,Exceeded Threshold Exceeded FPI,Dec
PATRICIA,SCE Foothill Rd,16.7,45.4,31/46,12,High Wind Trend Exceeded FPI,Dec
SAVORY,SCE Cottonwood/2,19.2,40.5,29/42,12.93,High Wind Trend Exceeded FPI,Dec
FINGAL,SCE Cabazon,28.8,39.2,31/46,12.09,High Wind Trend Exceeded FPI,Dec
DONLON,SCE Orchard/2 Rd,19.7,50.4,31/46,12.95,Exceeded Threshold Exceeded FPI,Dec
FERRARA,SCE San Antonio Canyon,15.2,39.6,31/46,14.2,High Wind Trend Exceeded FPI,Dec
CAMP BALDY,SCE San Antonio Canyon,15.2,39.6,31/46,13.2,High Wind Trend Exceeded FPI,Dec
ICE HOUSE,SCE San Antonio Canyon,15.2,39.6,31/46,12.34,High Wind Trend Exceeded FPI,Dec
STORES,SCE Garcia Rd,29.8,45.8,31/46,14.44,High Wind Trend Exceeded FPI,Dec
SANTORINI,SCE Cucamonga Canyon,22.3,41.8,31/42,12.88,High Wind Trend Exceeded FPI,Dec
STUBBY,SCE Mias Canyon,27.6,47.7,31/46,14.43,Exceeded Threshold Exceeded FPI,Dec
WINERY,SCE Weber Valley,21.3,40,29/42,14.45,High Wind Trend Exceeded FPI,Dec
ECHO,SCE Arrowhead Springs Rd,24.4,44.4,31/46,14.36,High Wind Trend Exceeded FPI,Dec
SUTT,SCE Arrowhead Springs Rd,25,44.4,31/46,14.36,High Wind Trend Exceeded FPI,Dec
FOOTHILL,SCE San Dimas Reservoir,23.7,34.3,26/36,12.92,High Wind Trend Exceeded FPI,Dec
ECHO,SCE Arrowhead Springs Rd,26,43.3,31/46,14.36,High Wind Trend Exceeded FPI,Dec
GUNSITE,SCE Mias Canyon,27.6,47.7,31/46,12.13,Exceeded Threshold Exceeded FPI,Dec
IMPALA,SCE Lytle Creek Rd,25.7,57.4,31/46,12.78,Exceeded Threshold Exceeded FPI,Dec
NAPA,SCE Vector Sherman Rd,24.6,40.3,28/39,12,Exceeded Threshold Exceeded FPI,Dec
ALOLA #2,SCE E Fork Mias Canyon,13.9,40.9,31/44,14.28,High Wind Trend Exceeded FPI,Dec
SNOW VALLEY,SCE Running Springs,21.3,50.3,31/46,12.17,Exceeded Threshold Exceeded FPI,Dec
SAND CANYON,SCE Oak Spring Canyon,23,38.3,31/46,12.98,High Wind Trend Exceeded FPI,Dec
STORES,SCE Malki/1 Rd,26.3,44.1,31/46,14.44,High Wind Trend Exceeded FPI,Dec
JONAGOLD,SCE Union St,14.6,42.2,28/39,12,Exceeded Threshold Exceeded FPI,Dec
NAPOLEON,SCE High St,23.7,44.6,31/45,12.98,High Wind Trend Exceeded FPI,Dec
CUTHBERT,SCE Escondido Canyon,29,40.2,31/46,12,High Wind Trend Exceeded FPI,Dec
METTLER,SCE Golden Hills Blvd,20.3,33.3,23/37,12,High Wind Trend Exceeded FPI,Dec
CALSTATE,SCE Devil Canyon,39.7,50.6,31/46,12.79,Exceeded Threshold Exceeded FPI,Dec
OAK GLEN,SCE Pine Bench Rd,15.1,42.6,27/41,13.35,Exceeded Threshold Exceeded FPI,Dec
CONDOR,SCE Bear Mountain 2,27.2,41.9,31/46,13.51,High Wind Trend Exceeded FPI,Dec
SHOVEL,SCE Acton,22.8,33.5,25/40,13.53,High Wind Trend Exceeded FPI,Dec
TUFA,SCE BODIE STATE PARK,29.7,36.6,31/46,13.94,High Wind Trend Exceeded FPI,Dec
